Lot #,Specimen Number,Sex,SL,LL,TV,CPD,Miller's Data,State,County,Drainage,Group
CU 23457,5,m,48,69,18,28,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,3,m,70,69,20,28,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,7,f,58.5,75,20,28,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 40114,5,m,54,71,21,28,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,7,f,60,69,20,29,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 23457,4,m,51.5,71,20,29,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
VPI 1635,1,f,57,71,20,29,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 129304,2,m,64,66,22,29,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
,,,,,,,,,,,
,,,Mean,71.04054054,19.40540541,26.45945946,,,,,
,,,SD,3.410054389,0.8587808963,0.9957332149,,,,,
,,,Count,74,74,74,,,,,
